1,Samsung Laptop 15 inch,Electronics,18500.00,45,6,2022-01-10
2,iPhone 14,Electronics,32000.00,30,1,2022-01-15
3,Sony Wireless Headphones,Electronics,2800.00,120,1,2022-02-01
4,LG Monitor 27 inch,Electronics,8500.00,25,1,2022-02-10
5,Huawei Tablet,Electronics,9200.00,60,1,2022-03-01
6,Canon DSLR Camera,Electronics,22000.00,15,1,2022-03-15
7,TP-Link Router,Electronics,850.00,200,1,2022-04-01
8,Fast Wireless Charger,Electronics,450.00,300,6,2022-04-10
9,Samsung Smart Watch,Electronics,5500.00,80,6,2022-05-01
10,Bluetooth Speaker,Electronics,1200.00,150,1,2022-05-15
11,DeLonghi Coffee Machine,Home,7800.00,35,2,2022-01-20
12,Dyson Vacuum Cleaner,Home,9500.00,20,2,2022-02-05
13,Philips Electric Blender,Home,1800.00,90,2,2022-02-20
14,Steam Iron,Home,950.00,110,2,2022-03-10
15,Cookware Set,Home,3200.00,55,2,2022-03-25
16,Mini Electric Oven,Home,2400.00,40,2,2022-04-15
17,Smart Ceiling Fan,Home,3800.00,30,2,2022-05-01
18,Smart Air Purifier,Home,6500.00,25,2,2022-05-20
19,Men Leather Jacket,Fashion,4500.00,60,3,2022-01-25
20,Women Evening Dress,Fashion,3800.00,45,3,2022-02-14
21,Nike Sports Shoes,Fashion,3200.00,100,3,2022-02-28
22,Women Leather Bag,Fashion,5200.00,35,3,2022-03-20
23,Men Casual Watch,Fashion,2800.00,70,3,2022-04-05
24,Ray-Ban Sunglasses,Fashion,2100.00,90,3,2022-04-20
25,Hybrid Bicycle,Sports,8900.00,20,4,2022-01-30
26,Electric Treadmill,Sports,18000.00,10,4,2022-02-15
27,Pro Gym Bag,Sports,1500.00,80,4,2022-03-01
28,Adidas Football,Sports,450.00,200,4,2022-03-15
29,Pro Tennis Racket,Sports,2200.00,50,4,2022-04-01
30,Full Yoga Set,Sports,1800.00,65,4,2022-04-25
31,Complete Python Course - Book,Books,280.00,500,5,2022-01-05
32,SQL for Beginners,Books,220.00,400,5,2022-01-20
33,Professional Excel for Business,Books,260.00,350,5,2022-02-10
34,Learn Power BI Step by Step,Books,300.00,300,5,2022-03-05
35,AI for Everyone,Books,320.00,250,5,2022-03-20
36,Vichy Moisturizing Cream,Beauty,680.00,200,9,2022-02-01
37,Hair Care Set,Beauty,1200.00,150,9,2022-02-20
38,Carolina Herrera Men Perfume,Beauty,2800.00,80,9,2022-03-10
39,Chanel Lipstick,Beauty,1800.00,120,9,2022-03-25
40,Vitamin C Serum,Beauty,920.00,180,9,2022-04-10
41,LEGO Technic 500 Pieces,Toys,2200.00,70,10,2022-02-05
42,Remote Control Car,Toys,1400.00,90,10,2022-02-25
43,Kids Drawing Set,Toys,480.00,150,10,2022-03-15
44,Wooden Chess Set,Toys,750.00,100,10,2022-04-01
45,Barbie Doll,Toys,850.00,120,10,2022-04-20
